UACE,NAME,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,
03957,"Atoka, TN"," 13,056 "," 4,834 "," 25,705,273 ", 9.92 ," 72,575 ", 0.03 ," 1,315.48 ",
04021,"Aubrey, TX"," 5,116 "," 1,963 "," 7,097,052 ", 2.74 ," 11,230 ", 0.00 ," 1,867.03 ",
04033,"Auburn, AL"," 100,842 "," 44,840 "," 158,393,499 ", 61.16 ," 1,472,748 ", 0.57 ," 1,648.93 ",
04060,"Auburn, IN"," 20,346 "," 8,813 "," 25,597,810 ", 9.88 ,0.00,0.00," 2,058.61 ",
04114,"Auburn, NY"," 31,433 "," 15,338 "," 34,030,890 ", 13.14 ," 211,524 ", 0.08 ," 2,392.27 ",
04130,"Auburn, CA"," 31,371 "," 13,842 "," 44,648,435 ", 17.24 ," 22,143 ", 0.01 ," 1,819.78 ",
04146,"Au Gres, MI"," 1,869 "," 2,201 "," 10,264,539 ", 3.96 ," 168,489 ", 0.07 , 471.59 ,
04168,"Augusta, KS"," 9,231 "," 4,004 "," 9,624,503 ", 3.72 ," 695,128 ", 0.27 ," 2,484.09 ",
04195,"Augusta, ME"," 24,005 "," 12,627 "," 56,766,242 ", 21.92 ," 1,871,378 ", 0.72 ," 1,095.24 ",
04222,"Augusta-Richmond County, GA--SC"," 431,480 "," 184,589 "," 707,822,587 ", 273.29 ," 5,760,420 ", 2.22 ," 1,578.83 ",
04276,"Aurora, MO"," 7,466 "," 3,488 "," 13,670,605 ", 5.28 ," 40,800 ", 0.02 ," 1,414.48 ",
04357,"Austin, MN"," 25,479 "," 10,764 "," 26,021,766 ", 10.05 ," 254,097 ", 0.10 ," 2,535.97 ",
04384,"Austin, TX"," 1,809,888 "," 765,527 "," 1,604,809,936 ", 619.62 ," 12,678,276 ", 4.90 ," 2,920.96 ",
04438,"Avalon, CA"," 3,362 "," 2,165 "," 3,080,708 ", 1.19 ,0.00,0.00," 2,826.47 ",
04465,"Avenal, CA"," 13,304 "," 2,480 "," 9,397,889 ", 3.63 ,0.00,0.00," 3,666.48 ",
04587,"Aztec, NM"," 7,301 "," 3,446 "," 17,566,785 ", 6.78 ," 264,792 ", 0.10 ," 1,076.44 ",
04627,"Bainbridge, GA"," 13,857 "," 6,070 "," 27,649,585 ", 10.68 ," 614,197 ", 0.24 ," 1,298.01 ",
04654,"Baker City, OR"," 9,768 "," 4,509 "," 11,601,573 ", 4.48 ,0.00,0.00," 2,180.65 ",
04681,"Bakersfield, CA"," 570,235 "," 186,629 "," 342,190,994 ", 132.12 ," 2,545,322 ", 0.98 ," 4,316.02 ",
04843,"Baltimore, MD"," 2,212,038 "," 944,161 "," 1,696,273,764 ", 654.93 ," 55,784,905 ", 21.54 ," 3,377.49 ",
04924,"Bandon, OR"," 4,104 "," 2,514 "," 12,605,488 ", 4.87 ," 41,944 ", 0.02 , 843.23 ,
04951,"Bangor, ME"," 61,539 "," 28,723 "," 132,390,040 ", 51.12 ," 4,822,906 ", 1.86 ," 1,203.91 ",
05005,"Baraboo, WI"," 14,201 "," 6,569 "," 17,518,061 ", 6.76 ," 214,011 ", 0.08 ," 2,099.57 ",
05032,"Barbourville, KY"," 5,998 "," 2,744 "," 13,718,477 ", 5.30 ," 73,476 ", 0.03 ," 1,132.40 ",
05040,"Barceloneta--Florida--Bajadero, PR"," 65,070 "," 29,534 "," 108,004,676 ", 41.70 ," 73,429 ", 0.03 ," 1,560.40 ",
05059,"Bardstown, KY"," 17,682 "," 7,738 "," 34,627,012 ", 13.37 ," 272,635 ", 0.11 ," 1,322.56 ",
05113,"Barnesville, GA"," 6,825 "," 2,796 "," 15,058,636 ", 5.81 ," 109,101 ", 0.04 ," 1,173.86 ",
05167,"Barnstable Town, MA"," 303,269 "," 195,668 "," 883,909,133 ", 341.28 ," 90,287,592 ", 34.86 , 888.62 ,
05221,"Barre--Montpelier, VT"," 20,014 "," 10,096 "," 37,270,872 ", 14.39 ," 413,559 ", 0.16 ," 1,390.79 ",
05302,"Barstow, CA"," 30,522 "," 11,453 "," 32,068,959 ", 12.38 ,0.00,0.00," 2,465.05 ",
05329,"Bartlesville, OK"," 39,479 "," 18,237 "," 51,181,227 ", 19.76 ," 32,200 ", 0.01 ," 1,997.81 ",
05383,"Bartow, FL"," 16,948 "," 7,166 "," 20,496,504 ", 7.91 ," 669,388 ", 0.26 ," 2,141.59 ",
05410,"Basalt, CO"," 8,127 "," 3,458 "," 9,433,311 ", 3.64 ," 68,797 ", 0.03 ," 2,231.33 ",
05437,"Bastrop, LA"," 12,604 "," 5,701 "," 26,749,993 ", 10.33 ," 105,190 ", 0.04 ," 1,220.34 ",
05464,"Bastrop, TX"," 19,384 "," 7,798 "," 46,957,839 ", 18.13 ," 620,588 ", 0.24 ," 1,069.14 ",
05491,"Batavia, NY"," 17,472 "," 8,308 "," 20,898,199 ", 8.07 ," 118,102 ", 0.05 ," 2,165.37 ",
05518,"Batesburg-Leesville, SC"," 4,989 "," 2,342 "," 14,503,633 ", 5.60 ," 163,954 ", 0.06 , 890.91 ,
05545,"Batesville, AR"," 10,913 "," 4,724 "," 20,312,531 ", 7.84 ," 22,032 ", 0.01 ," 1,391.48 ",
05572,"Batesville, IN"," 7,941 "," 3,285 "," 14,178,627 ", 5.47 ," 175,293 ", 0.07 ," 1,450.57 ",
05599,"Batesville, MS"," 6,273 "," 2,643 "," 16,264,239 ", 6.28 ,0.00,0.00, 998.94 ,
05653,"Bath, NY"," 6,335 "," 3,264 "," 7,522,968 ", 2.90 ," 245,799 ", 0.09 ," 2,181.00 ",
05680,"Baton Rouge, LA"," 631,326 "," 273,965 "," 1,026,517,587 ", 396.34 ," 11,310,643 ", 4.37 ," 1,592.89 ",
05707,"Battle Creek, MI"," 75,513 "," 34,049 "," 122,588,672 ", 47.33 ," 4,148,654 ", 1.60 ," 1,595.40 ",
