UACE,Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
08002,"Blacksburg--Christiansburg, VA",29060,32191,35321,38452,41583,44713,47844,50974,54105,57236,60366,63497,66627,69758,72889,76019,79150,82280,85411,88542,86927,85313,83699,82085,80471,78856,77242,75628,74014,72400,70785,69171,67557
37162,"Harrisonburg, VA",39923,41337,42751,44164,45578,46992,48405,49819,51233,52647,54060,55474,56888,58301,59715,61129,62542,63956,65370,66784,67443,68102,68761,69421,70080,70739,71399,72058,72717,73377,74036,74695,75354
48664,"Lebanon, PA",51616,52957,54297,55638,56978,58319,59659,61000,62340,63681,65021,66362,67702,69043,70383,71724,73064,74405,75745,77086,76925,76765,76605,76445,76285,76125,75965,75805,75645,75485,75324,75164,75004
78364,"Salisbury, MD--DE",24636,28502,32367,36233,40098,43964,47829,51695,55560,59426,63291,67157,71022,74888,78753,82619,86484,90350,94215,98081,96080,94079,92079,90078,88078,86077,84076,82076,80075,78075,76074,74073,72073
59275,"Morgantown, WV",43079,44514,45949,47385,48820,50255,51691,53126,54561,55997,57432,58867,60302,61738,63173,64608,66044,67479,68914,70350,71077,71804,72531,73258,73985,74712,75439,76166,76893,77620,78347,79074,79801
47530,"Lancaster--Manheim, PA",252949,260794,268639,276484,284329,292174,300019,307864,315709,323554,331399,339244,347089,354934,362779,370624,378469,386314,394159,402004,401256,400509,399761,399014,398267,397519,396772,396024,395277,394530,393782,393035,392287
15832,"Chattanooga, TN--GA",309666,313426,317186,320947,324707,328467,332228,335988,339748,343509,347269,351029,354789,358550,362310,366070,369831,373591,377351,381112,382857,384603,386349,388094,389840,391586,393331,395077,396823,398569,400314,402060,403806
45640,"Knoxville, TN",294850,308737,322623,336510,350397,364283,378170,392056,405943,419830,433716,447603,461489,475376,489263,503149,517036,530922,544809,558696,562552,566408,570264,574120,577976,581832,585688,589544,593400,597257,601113,604969,608825
56116,"Memphis, TN--MS--AR",892918,901715,910512,919309,928106,936903,945700,954497,963294,972091,980888,989685,998482,1007279,1016076,1024873,1033670,1042467,1051264,1060061,1059673,1059286,1058899,1058512,1058125,1057738,1057351,1056964,1056577,1056190,1055802,1055415,1055028
61273,"Nashville-Davidson, TN",552248,574213,596178,618143,640109,662074,684039,706004,727969,749935,771900,793865,815830,837795,859761,881726,903691,925656,947621,969587,988492,1007398,1026303,1045209,1064114,1083020,1101925,1120831,1139736,1158642,1177547,1196453,1215358
03358,"Asheville, NC",168399,174307,180215,186123,192031,197938,203846,209754,215662,221570,227477,233385,239293,245201,251109,257016,262924,268832,274740,280648,281160,281673,282186,282699,283212,283724,284237,284750,285263,285776,286288,286801,287314
95833,"Wilmington, NC",108221,114102,119983,125864,131745,137625,143506,149387,155268,161149,167029,172910,178791,184672,190553,196433,202314,208195,214076,219957,223494,227031,230568,234105,237643,241180,244717,248254,251791,255329,258866,262403,265940
73261,"Raleigh, NC",232499,266835,301172,335508,369845,404181,438517,472854,507190,541527,575863,610199,644536,678872,713209,747545,781881,816218,850554,884891,907066,929242,951417,973593,995768,1017944,1040119,1062295,1084470,1106646,1128821,1150997,1173172
15670,"Charlotte, NC--SC",317463,366515,415566,464618,513669,562721,611772,660824,709875,758927,807978,857030,906081,955133,1004184,1053236,1102287,1151339,1200390,1249442,1262485,1275528,1288571,1301614,1314657,1327700,1340743,1353786,1366829,1379873,1392916,1405959,1419002
29440,"Fayetteville, NC",245845,249236,252628,256019,259411,262802,266193,269585,272976,276368,279759,283150,286542,289933,293325,296716,300107,303499,306890,310282,311754,313227,314699,316172,317645,319117,320590,322062,323535,325008,326480,327953,329425
96670,"Winston-Salem, NC",216729,225902,235076,244249,253423,262596,271769,280943,290116,299290,308463,317636,326810,335983,345157,354330,363503,372677,381850,391024,394014,397004,399994,402984,405974,408964,411954,414944,417934,420924,423914,426904,429894
35920,"Gulfport--Biloxi, MS",202879,203198,203518,203837,204157,204476,204795,205115,205434,205754,206073,206392,206712,207031,207351,207670,207989,208309,208628,208948,211687,214427,217166,219906,222646,225385,228125,230864,233604,236344,239083,241823,244562
42211,"Jackson, MS",239680,245564,251448,257332,263216,269100,274984,280868,286752,292637,298521,304405,310289,316173,322057,327941,333825,339709,345593,351478,351099,350721,350342,349964,349585,349207,348828,348450,348071,347693,347314,346936,346557
49582,"Lexington-Fayette, KY",215651,219578,223505,227432,231359,235286,239213,243140,247067,250994,254920,258847,262774,266701,270628,274555,278482,282409,286336,290263,292799,295336,297873,300410,302947,305483,308020,310557,313094,315631,318167,320704,323241
16885,"Cincinnati, OH--KY",1393853,1406010,1418166,1430323,1442479,1454636,1466792,1478949,1491105,1503262,1515418,1527575,1539731,1551888,1564044,1576201,1588357,1600514,1612670,1624827,1631018,1637210,1643402,1649593,1655785,1661977,1668168,1674360,1680552,1686744,1692935,1699127,1705319
00901,"Albany, GA",95153,95186,95219,95252,95285,95318,95351,95384,95417,95450,95482,95515,95548,95581,95614,95647,95680,95713,95746,95779,94797,93815,92833,91851,90869,89887,88905,87923,86941,85960,84978,83996,83014
03817,"Atlanta, GA",2585818,2687376,2788934,2890492,2992050,3093608,3195166,3296724,3398282,3499840,3601397,3702955,3804513,3906071,4007629,4109187,4210745,4312303,4413861,4515419,4573888,4632357,4690826,4749296,4807765,4866234,4924704,4983173,5041642,5100112,5158581,5217050,5275519
04222,"Augusta-Richmond County, GA--SC",289588,294704,299820,304935,310051,315167,320282,325398,330514,335630,340745,345861,350977,356092,361208,366324,371439,376555,381671,386787,391256,395725,400194,404664,409133,413602,418072,422541,427010,431480,435949,440418,444887
79768,"Savannah, GA",162274,167453,172632,177811,182990,188169,193348,198527,203706,208886,214065,219244,224423,229602,234781,239960,245139,250318,255497,260677,265555,270434,275313,280192,285071,289950,294829,299708,304587,309466,314344,319223,324102
86599,"Tampa--St. Petersburg, FL",1720851,1758794,1796737,1834680,1872623,1910566,1948509,1986452,2024395,2062339,2100282,2138225,2176168,2214111,2252054,2289997,2327940,2365883,2403826,2441770,2475897,2510025,2544152,2578280,2612407,2646535,2680662,2714790,2748917,2783045,2817172,2851300,2885427
13510,"Cape Coral, FL",149277,169330,189383,209437,229490,249543,269597,289650,309703,329757,349810,369863,389916,409970,430023,450076,470130,490183,510236,530290,537185,544080,550975,557870,564766,571661,578556,585451,592346,599242,606137,613032,619927
56602,"Miami--Fort Lauderdale, FL",4394027,4452361,4510695,4569030,4627364,4685698,4744033,4802367,4860701,4919036,4977370,5035704,5094038,5152373,5210707,5269041,5327376,5385710,5444044,5502379,5559893,5617407,5674921,5732436,5789950,5847464,5904979,5962493,6020007,6077522,6135036,6192550,6250064
32167,"Gainesville, FL",134062,136889,139716,142544,145371,148198,151026,153853,156680,159508,162335,165162,167989,170817,173644,176471,179299,182126,184953,187781,190377,192974,195571,198167,200764,203361,205957,208554,211151,213748,216344,218941,221538
46828,"Lakeland, FL",142688,148999,155310,161621,167932,174243,180554,186865,193176,199487,205797,212108,218419,224730,231041,237352,243663,249974,256285,262596,264127,265659,267191,268723,270255,271787,273319,274851,276383,277915,279446,280978,282510
65863,"Orlando, FL",839654,874963,910271,945580,980888,1016197,1051505,1086814,1122122,1157431,1192739,1228048,1263356,1298665,1333973,1369282,1404590,1439899,1475207,1510516,1544854,1579192,1613530,1647868,1682206,1716544,1750882,1785220,1819558,1853896,1888234,1922572,1956910
86464,"Tallahassee, FL",171893,175489,179085,182682,186278,189874,193471,197067,200663,204260,207856,211452,215048,218645,222241,225837,229434,233030,236626,240223,241494,242765,244036,245307,246578,247849,249120,250391,251662,252934,254205,255476,256747
68482,"Pensacola, FL--AL",309127,310755,312384,314012,315641,317269,318897,320526,322154,323783,325411,327039,328668,330296,331925,333553,335181,336810,338438,340067,345077,350088,355098,360109,365119,370130,375140,380151,385161,390172,395182,400193,405203
42346,"Jacksonville, FL",717663,735955,754248,772540,790833,809125,827417,845710,864002,882295,900587,918879,937172,955464,973757,992049,1010341,1028634,1046926,1065219,1083434,1101650,1119865,1138081,1156296,1174512,1192727,1210943,1229158,1247374,1265589,1283805,1302020
07786,"Birmingham, AL",586323,594911,603499,612087,620675,629263,637851,646439,655027,663615,672203,680791,689379,697967,706555,715143,723731,732319,740907,749495,752041,754587,757133,759679,762225,764771,767317,769863,772409,774956,777502,780048,782594
57925,"Mobile, AL",309884,310742,311600,312458,313316,314173,315031,315889,316747,317605,318462,319320,320178,321036,321894,322751,323609,324467,325325,326183,325755,325327,324900,324472,324045,323617,323189,322762,322334,321907,321479,321051,320624
58600,"Montgomery, AL",136578,143280,149981,156683,163384,170086,176787,183489,190190,196892,203593,210295,216996,223698,230399,237101,243802,250504,257205,263907,262951,261995,261039,260083,259127,258171,257215,256259,255303,254348,253392,252436,251480
03763,"Athens-Clarke County, GA",86437,88664,90891,93118,95346,97573,99800,102027,104254,106482,108709,110936,113163,115390,117618,119845,122072,124299,126526,128754,130199,131645,133091,134537,135983,137429,138875,140321,141767,143213,144658,146104,147550
25228,"Durham, NC",233970,239951,245931,251912,257893,263873,269854,275834,281815,287796,293776,299757,305737,311718,317699,323679,329660,335640,341621,347602,352453,357305,362156,367008,371860,376711,381563,386414,391266,396118,400969,405821,410672
35461,"Greenville, SC",213725,223555,233385,243215,253045,262874,272704,282534,292364,302194,312023,321853,331683,341513,351343,361172,371002,380832,390662,400492,399169,397847,396525,395203,393881,392559,391237,389915,388593,387271,385948,384626,383304
42265,"Jackson, TN",58971,59650,60330,61009,61689,62368,63047,63727,64406,65086,65765,66444,67124,67803,68483,69162,69841,70521,71200,71880,71972,72065,72158,72251,72344,72437,72530,72623,72716,72809,72901,72994,73087
76204,"Rome, GA",55979,56235,56492,56748,57005,57261,57517,57774,58030,58287,58543,58799,59056,59312,59569,59825,60081,60338,60594,60851,60806,60761,60716,60671,60627,60582,60537,60492,60447,60403,60358,60313,60268
67105,"Palm Bay--Melbourne, FL",339737,345687,351637,357587,363538,369488,375438,381388,387338,393289,399239,405189,411139,417089,423040,428990,434940,440890,446840,452791,458579,464367,470156,475944,481733,487521,493309,499098,504886,510675,516463,522251,528040
40780,"Huntsville, AL",147157,154501,161845,169189,176533,183877,191221,198565,205909,213253,220596,227940,235284,242628,249972,257316,264660,272004,279348,286692,290929,295166,299404,303641,307879,312116,316353,320591,324828,329066,333303,337540,341778
79093,"San Juan, PR",2278059,2271232,2264405,2257578,2250751,2243924,2237097,2230270,2223443,2216616,2209789,2202962,2196135,2189308,2182481,2175654,2168827,2162000,2155173,2148346,2117952,2087558,2057165,2026771,1996378,1965984,1935590,1905197,1874803,1844410,1814016,1783622,1753229
35164,"Greensboro, NC",228350,232743,237135,241528,245921,250313,254706,259098,263491,267884,272276,276669,281061,285454,289847,294239,298632,303024,307417,311810,314521,317233,319945,322657,325369,328080,330792,333504,336216,338928,341639,344351,347063
85708,"Sumter, SC",56411,57290,58169,59047,59926,60805,61683,62562,63441,64320,65198,66077,66956,67834,68713,69592,70470,71349,72228,73107,72678,72250,71822,71394,70966,70537,70109,69681,69253,68825,68396,67968,67540
15508,"Charleston, SC",310915,323414,335914,348413,360913,373412,385911,398411,410910,423410,435909,448408,460908,473407,485907,498406,510905,523405,535904,548404,562040,575677,589314,602951,616588,630225,643862,657499,671136,684773,698409,712046,725683
08974,"Bonita Springs--Estero, FL",141108,150013,158918,167822,176727,185632,194536,203441,212346,221251,230155,239060,247965,256869,265774,274679,283583,292488,301393,310298,321835,333373,344911,356448,367986,379524,391061,402599,414137,425675,437212,448750,460288
18964,"Columbia, SC",304221,317145,330069,342993,355917,368841,381765,394689,407613,420537,433461,446385,459309,472233,485157,498081,511005,523929,536853,549777,553840,557903,561966,566029,570092,574155,578218,582281,586344,590407,594470,598533,602596
48799,"Leesburg--Eustis--Tavares, FL",67041,70425,73809,77193,80577,83961,87345,90729,94113,97497,100881,104265,107649,111033,114417,117801,121185,124569,127953,131337,133355,135374,137392,139411,141430,143448,145467,147485,149504,151523,153541,155560,157578
38647,"Hickory, NC",165859,168298,170737,173175,175614,178053,180491,182930,185369,187808,190246,192685,195124,197562,200001,202440,204878,207317,209756,212195,211126,210058,208989,207921,206853,205784,204716,203647,202579,201511,200442,199374,198305
