NTD ID,Agency Name,City,State,Primary UZA Name,UZA Area SQ Miles,UZA Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10005,Lowell Regional Transit Authority (LRTA),Lowell,MA,"Boston, MA--NH",1655.89,4382009,1143418.0,1118244.0,1382668.0,1457746.0,1513342.0,1561830.0,1659292.0,1673040.0,1728582.0,1812114.0,1820636.0,1813621.0,1663685.0,1558019.0,1519306.0,1402885.0,1352496.0,1404600.0,1504484.0,1438140.0,1511558.0,1497659.0,1498298.0,1599586.0,1641933.0,1624959.0,1539556.0,1525986.0,1480469.0,1083928.0,575306.0,787117.0,812372.0
10013,Merrimack Valley Regional Transit Authority (MEVA),Haverhill,MA,"Boston, MA--NH",1655.89,4382009,1388496.0,1457367.0,1524368.0,1553751.0,1543902.0,1443291.0,1432905.0,1310895.0,1609545.0,1744023.0,1822712.0,1327007.0,1421417.0,1507541.0,1662013.0,1807889.0,2060707.0,2210643.0,2690576.0,2132657.0,2298909.0,2276251.0,2090586.0,2160948.0,2310284.0,2419958.0,2297104.0,2194507.0,2105654.0,1611600.0,1041243.0,1264151.0,1886152.0
10053,Cape Ann Transportation Authority (CATA),Gloucester,MA,"Boston, MA--NH",1655.89,4382009,160693.0,173420.0,243597.0,223517.0,284318.0,388958.0,342059.0,358666.0,366508.0,380605.0,414011.0,407605.0,311240.0,286646.0,289989.0,295917.0,293024.0,277609.0,271482.0,239051.0,247317.0,243979.0,233272.0,222668.0,202006.0,216231.0,229059.0,220650.0,235371.0,179334.0,150290.0,184023.0,180339.0
10118,MetroWest Regional Transit Authority (MWRTA),Framingham,MA,"Boston, MA--NH",1655.89,4382009,,,,,,,,,,,,,,,,,,506655.0,322715.0,416568.0,431773.0,514154.0,561012.0,589684.0,643769.0,706374.0,776509.0,827638.0,800772.0,622070.0,258731.0,338326.0,479776.0
10006,Southeastern Regional Transit Authority (SRTA),New Bedford,MA,"New Bedford, MA",59.31,155491,3848503.0,2578584.0,3398306.0,3749180.0,,3521087.0,3425095.0,3351516.0,2696993.0,2603597.0,2445137.0,2345806.0,1966965.0,1831157.0,1696724.0,1657648.0,1670700.0,1700698.0,1740732.0,1888950.0,1727701.0,1944762.0,2029562.0,2409849.0,2659449.0,2793139.0,2734062.0,2706197.0,2749070.0,2304783.0,1739276.0,2099142.0,2368548.0
10007,Berkshire Regional Transit Authority (BRTA),Pittsfield,MA,"Pittsfield, MA",30.46,50720,917650.0,892653.0,815684.0,772814.0,751539.0,601192.0,547197.0,543441.0,547179.0,547179.0,,529228.0,535347.0,505941.0,508776.0,553480.0,543010.0,551429.0,600584.0,550430.0,550255.0,584671.0,572174.0,597346.0,599719.0,547597.0,566086.0,570503.0,524796.0,452291.0,342144.0,411341.0,509964.0
10008,Pioneer Valley Transit Authority (PVTA),Springfield,MA,"Springfield, MA--CT",201.77,442145,3115728.0,11126945.0,11989931.0,10918179.0,11351267.0,12858863.0,2826894.0,2904193.0,2564534.0,2678446.0,2960091.0,10826342.0,10923192.0,11051461.0,10120251.0,9925681.0,10513927.0,12050142.0,12190670.0,10802653.0,10471407.0,11487956.0,11750780.0,11729512.0,12552771.0,13384555.0,11764961.0,11223169.0,10380926.0,8330035.0,3994626.0,6227676.0,7079756.0
10014,Worcester Regional Transit Authority (WRTA),Worcester,MA,"Worcester, MA--CT",260.29,482085,4979797.0,4985506.0,4441470.0,4446069.0,4442825.0,5119268.0,5091822.0,5074127.0,4799183.0,4832926.0,4840979.0,4999036.0,4229220.0,3791057.0,2824576.0,3431671.0,3320796.0,3362403.0,3401307.0,3493141.0,3599538.0,3938857.0,3667086.0,3885290.0,3962170.0,4240488.0,3790922.0,3315655.0,3193864.0,2563542.0,2294442.0,3206023.0,4133429.0
10016,Greater Portland Transit District (GPTD),Portland,ME,"Portland, ME",123.88,205356,1305819.0,1261168.0,1200869.0,1155290.0,1189394.0,1208533.0,1191451.0,1180798.0,1220642.0,1240046.0,1284275.0,1306124.0,1317200.0,1347652.0,1360010.0,1379444.0,1429809.0,1501242.0,1411842.0,1440200.0,1433664.0,1465891.0,1452363.0,1489116.0,1568136.0,1810825.0,1850686.0,1947038.0,2111881.0,1065893.0,1016885.0,1260110.0,1694203.0
10088,Casco Bay Island Transit District (CBITD),Portland,ME,"Portland, ME",123.88,205356,690000.0,643289.0,655528.0,668838.0,746258.0,769439.0,824024.0,853287.0,919930.0,941290.0,931076.0,972308.0,893334.0,861422.0,852826.0,869694.0,910473.0,266817.0,857158.0,847091.0,903780.0,939674.0,946184.0,962614.0,1001702.0,1078805.0,1086449.0,1111101.0,1099820.0,628217.0,893762.0,997335.0,1053175.0
10115,Northern New England Passenger Rail Authority (NNEPRA),Portland,ME,"Portland, ME",123.88,205356,,,,,,,,,,,,,,,250535.0,230644.0,340728.0,441726.0,471398.0,474205.0,510015.0,528282.0,556347.0,536524.0,438364.0,473923.0,511422.0,551038.0,547293.0,412718.0,117863.0,403775.0,517276.0
10017,Greater Hartford Transit District (GHTD),Hartford,CT,"Hartford, CT",535.93,977158,452696.0,1406855.0,1405386.0,1266417.0,942170.0,778424.0,674069.0,423742.0,567850.0,567624.0,536432.0,485582.0,484396.0,491038.0,551594.0,809598.0,813039.0,851711.0,679003.0,610429.0,366769.0,326265.0,408024.0,443595.0,445429.0,524830.0,503818.0,499199.0,513438.0,413320.0,304343.0,407389.0,503701.0
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco. (CDOT CTTransit DATTCO) - CTTransit New Britain,New Britain,CT,"Hartford, CT",535.93,977158,333531.0,334664.0,340818.0,,,,,,,,,,,,,,,,,,0.0,340819.0,355703.0,380798.0,387900.0,401214.0,385005.0,392718.0,383850.0,308408.0,179453.0,129028.0,319168.0
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division - Hartford,Hartford,CT,"Hartford, CT",535.93,977158,19385420.0,18788498.0,18479404.0,17891980.0,18740193.0,15167944.0,15250838.0,16816826.0,17472822.0,17701954.0,16846899.0,17166448.0,13549511.0,12789638.0,12508700.0,12974403.0,12718250.0,13831689.0,13578441.0,13443001.0,13896882.0,14698648.0,14429543.0,14621291.0,14868818.0,15976850.0,15431157.0,16206841.0,15797582.0,13824376.0,9605901.0,10327809.0,15128480.0
10102,Connecticut Department of Transportation (CDOT),Newington,CT,"Hartford, CT",535.93,977158,910733.0,526256.0,712416.0,656677.0,644250.0,615292.0,457755.0,458406.0,441606.0,452112.0,464472.0,477983.0,567130.0,596294.0,600740.0,654399.0,1318566.0,703224.0,795196.0,738610.0,781860.0,850867.0,1107969.0,1150371.0,1116832.0,1069706.0,1006795.0,908157.0,756677.0,584393.0,86262.0,313617.0,495143.0
10130,Connecticut Department of Transportation -CTTRANSIT New Britain - New Britain,Berlin,CT,"Hartford, CT",535.93,977158,,,,,,,,,,,,,,,,,,,,,710061.0,809561.0,819400.0,851224.0,749428.0,692230.0,680443.0,686105.0,645308.0,545705.0,364034.0,399775.0,439346.0
10040,Southeast Area Transit District (SEAT),Preston,CT,"Norwich--New London, CT",116.72,167432,761276.0,822695.0,822695.0,,,,,,1076864.0,,952209.0,917080.0,916895.0,861037.0,934171.0,986756.0,1063692.0,1161710.0,1136514.0,1039823.0,1153359.0,1273918.0,1165521.0,1170857.0,1154639.0,1118112.0,1009229.0,958277.0,965658.0,858383.0,662624.0,810198.0,1211688.0
10042,Valley Transit District (VTD),Derby,CT,"Bridgeport--Stamford, CT--NY",397.29,916408,131199.0,128803.0,131987.0,117890.0,118543.0,113299.0,108548.0,113073.0,124369.0,131190.0,131630.0,133000.0,129030.0,103033.0,,,12442.0,88979.0,82776.0,81074.0,82875.0,83169.0,78965.0,74894.0,72693.0,68616.0,65682.0,56095.0,48529.0,38657.0,32746.0,41739.0,48819.0
10050,Greater Bridgeport Transit Authority (GBT),Bridgeport,CT,"Bridgeport--Stamford, CT--NY",397.29,916408,7235661.0,7106376.0,5880868.0,5239522.0,5403048.0,4779125.0,4533425.0,4809558.0,5096750.0,5241964.0,5463747.0,5201947.0,4645509.0,4576622.0,4784467.0,4943667.0,5165891.0,5205224.0,5390756.0,5398454.0,5653384.0,5951650.0,5989183.0,6185492.0,6206877.0,6167560.0,5575276.0,5296925.0,5302498.0,4233780.0,2645347.0,3637156.0,5266649.0
10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division - Stamford,Hartford,CT,"Bridgeport--Stamford, CT--NY",397.29,916408,2092346.0,2760148.0,2768586.0,3023090.0,2836102.0,2836102.0,2856346.0,3915988.0,3920288.0,3915966.0,5077679.0,3307114.0,3197736.0,3028407.0,2809704.0,2844452.0,2893579.0,3142684.0,3341739.0,3209267.0,3412027.0,3596691.0,3450789.0,3537127.0,3445079.0,3338000.0,2954460.0,2839604.0,2743779.0,2457580.0,2003543.0,2366120.0,3487909.0
10057,Norwalk Transit District,Norwalk,CT,"Bridgeport--Stamford, CT--NY",397.29,916408,1565809.0,1562676.0,1559733.0,1586612.0,1569402.0,1606602.0,1728117.0,1840372.0,1926984.0,2038772.0,2190708.0,2040092.0,1830718.0,1777814.0,1783501.0,1919522.0,1926671.0,2017490.0,2016989.0,2006207.0,2058022.0,2116755.0,2060233.0,2036259.0,1940752.0,1785415.0,1590387.0,1528482.0,1477503.0,1218837.0,856786.0,1056041.0,1564640.0
10107,Milford Transit District (MTD),Milford,CT,"Bridgeport--Stamford, CT--NY",397.29,916408,,,,,202243.0,210366.0,210173.0,204808.0,209122.0,322671.0,400389.0,401911.0,387525.0,373060.0,366868.0,387107.0,396952.0,432786.0,414332.0,419210.0,433980.0,464623.0,460676.0,465965.0,425345.0,412210.0,368223.0,327400.0,308076.0,269058.0,170669.0,192456.0,270092.0
10049,Greater New Haven Transit District (GNHTD),Hamden,CT,"New Haven, CT",298.01,561456,73627.0,84656.0,67635.0,71475.0,96623.0,201202.0,214586.0,219753.0,136187.0,198778.0,429835.0,266762.0,327405.0,322116.0,341074.0,332586.0,355650.0,371628.0,298385.0,266639.0,276831.0,252489.0,253746.0,280074.0,258526.0,256858.0,234783.0,226838.0,232347.0,193867.0,157984.0,185557.0,204258.0
10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division - New Haven,Hartford,CT,"New Haven, CT",298.01,561456,9336948.0,10883130.0,11623692.0,11616770.0,11934658.0,10504659.0,10518633.0,10518633.0,11893320.0,11893418.0,11795045.0,12379603.0,7978309.0,7710804.0,7734650.0,8425407.0,8119763.0,8598326.0,8598218.0,8724791.0,8767375.0,9453994.0,9562318.0,9526684.0,9380760.0,8771018.0,8016583.0,7681447.0,7567553.0,6750898.0,4962725.0,5536895.0,7705131.0
10051,Housatonic Area Regional Transit ,Danbury,CT,"Danbury, CT--NY",118.49,171680,727969.0,677500.0,647358.0,648385.0,688935.0,709554.0,767148.0,775560.0,794023.0,791087.0,825389.0,851889.0,865965.0,897132.0,835200.0,904053.0,924046.0,1013768.0,960364.0,889884.0,927175.0,969221.0,940555.0,899918.0,881062.0,860732.0,781882.0,741496.0,682224.0,565947.0,397710.0,461000.0,598732.0
10061,Montachusett Regional Transit Authority (MART),Fitchburg,MA,"Leominster--Fitchburg, MA",52.93,111790,1066805.0,1195968.0,1313995.0,1354506.0,975094.0,1319354.0,1309230.0,1468036.0,1525487.0,1525487.0,1164887.0,968006.0,955427.0,1004568.0,1158714.0,994626.0,1015759.0,884533.0,1000113.0,972261.0,979761.0,1078478.0,1117377.0,1205859.0,1168952.0,1101875.0,963862.0,933473.0,1120816.0,931532.0,539751.0,758771.0,874511.0
