NTD ID,Agency Name,City,State,UZA Name,UACE Code,UZA Area SQ Miles,UZA Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40022,Metropolitan Atlanta Rapid Transit Authority (MARTA),Atlanta,GA,"Atlanta, GA",03817,2553.04,5100112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40078,Cobb County - Transit Division,Marietta,GA,"Atlanta, GA",03817,2553.04,5100112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40025,Chatham Area Transit Authority (CAT),Savannah,GA,"Savannah, GA",79768,205.85,309466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40027,Pinellas Suncoast Transit Authority (PSTA),Saint Petersburg,FL,"Tampa--St. Petersburg, FL",86599,968.94,2783045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40041,Hillsborough Area Regional Transit Authority (HART),Tampa,FL,"Tampa--St. Petersburg, FL",86599,968.94,2783045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40028,Lee County - Public Transportation,Fort Myers,FL,"Cape Coral, FL",13510,331.8,599242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40029,Broward County Board of County Commissioners (BCT),Fort Lauderdale,FL,"Miami--Fort Lauderdale, FL",56602,1244.18,6077522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40034,County of Miami-Dade (DTPW) - Transportation & Public Works,Miami,FL,"Miami--Fort Lauderdale, FL",56602,1244.18,6077522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40037,"Board of County Commissioners, Palm Beach County",West Palm Beach,FL,"Miami--Fort Lauderdale, FL",56602,1244.18,6077522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40077,South Florida Regional Transportation Authority (SFRTA),Pompano Beach,FL,"Miami--Fort Lauderdale, FL",56602,1244.18,6077522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40030,"City of Gainesville, FL (RTS) - Regional Transit System",Gainesville,FL,"Gainesville, FL",32167,87.7,213748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40031,Lakeland Area Mass Transit District ,Lakeland,FL,"Lakeland, FL",46828,145.93,277915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40035,Central Florida Regional Transportation Authority (LYNX),Orlando,FL,"Orlando, FL",65863,644.61,1853896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40036,City of Tallahassee - StarMetro,Tallahassee,FL,"Tallahassee, FL",86464,125.46,252934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40038,"Escambia County Board of County Commissioners, FL (ECAT)",Pensacola,FL,"Pensacola, FL--AL",68482,262.54,390172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40040,Jacksonville Transportation Authority (JTA),Jacksonville,FL,"Jacksonville, FL",42346,573.27,1247374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40043,City of Mobile (WTS),Mobile,AL,"Mobile, AL",57925,220.75,321907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40047,Athens-Clarke County Unified Government (ACCTD) - Transit Department,Athens,GA,"Athens-Clarke County, GA",03763,91.85,143213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40051,Town of Chapel Hill - Transit,Chapel Hill,NC,"Durham, NC",25228,183.36,396118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40087,City of Durham - Transportation Department,Durham,NC,"Durham, NC",25228,183.36,396118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40058,City of Rome (RTD) - Transit Department,Rome,GA,"Rome, GA",76204,44.89,60403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40071,"City of Huntsville, Alabama - Public Transit",Huntsville,AL,"Huntsville, AL",40780,214.77,329066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40086,Metropolitan Bus Authority (MBA),San Juan,PR,"San Juan, PR",79093,763.6,1844410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50001,City of Appleton - Valley Transit,Appleton,WI,"Appleton, WI",02764,107.78,230967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50002,City of Green Bay (GBM) - Transit,Green Bay,WI,"Green Bay, WI",34813,113.66,224156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50004,City of La Crosse (MTU) - Municipal Transit Utility,La Crosse,WI,"La Crosse, WI--MN",45910,42.24,98872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50005,City of Madison - Metro Transit,Madison,WI,"Madison, WI",53200,149.7,450305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50008,Milwaukee County (MCTS) - Transportation - Transit,Milwaukee,WI,"Milwaukee, WI",57466,463.68,1306795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50096,City of Waukesha - Transit Commission,Waukesha,WI,"Milwaukee, WI",57466,463.68,1306795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50010,METRO Regional Transit Authority (METRO),Akron,OH,"Akron, OH",00766,300.64,541879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50011,Stark Area Regional Transit Authority (SARTA),Canton,OH,"Canton, OH",13375,180.19,295319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50012,Southwest Ohio Regional Transit Authority (SORTA),Cincinnati,OH,"Cincinnati, OH--KY",16885,752.28,1686744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50015,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,"Cleveland, OH",17668,713.81,1712178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50117,Laketran,Painesville,OH,"Cleveland, OH",17668,713.81,1712178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50016,Central Ohio Transit Authority (COTA),Columbus,OH,"Columbus, OH",19234,516.16,1567254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50017,Greater Dayton Regional Transit Authority (GDRTA),Dayton,OH,"Dayton, OH",22528,319.89,674046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50022,Toledo Area Regional Transit Authority (TARTA),Toledo,OH,"Toledo, OH--MI",87868,240.71,497952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
